WindowGainTransformed,HDDAirToHeatTransformed,HeatLossThroughDoorsWindowsWallsRoofFloorTransformed,WindowGainNTransformed,WindowGainSTransformed,WindowGainETransformed,WindowGainWTransformed,LightingWattHoursTransformed,OccupancyHoursTransformed,PlugLoadWattHoursTransformed,RefrigeratorWattHoursTransformed,DishwasherWattHoursTransformed,ClotheswasherWattHoursTransformed,DryerWattHoursTransformed,StoveWattsHoursTransformed,Location_HDD,Location_Humidity,Location_Solar,RoofInsulationRTransformed,FloorInsulationRTransformed,ExposedAreaNTransformed,ExposedAreaSTransformed,ExposedAreaETransformed,ExposedAreaWTransformed,WallInsulationRTransformed,WindowAreaNTransformed,WindowAreaSTransformed,WindowAreaETransformed,WindowAreaWTransformed,DoorAreaNTransformed,DoorAreaSTransformed,DoorAreaETransformed,DoorAreaWTransformed,ExteriorDoorInsulationRTransformed,GlazingUTransformed,GlazingSHGCNorthTransformed,GlazingSHGCSouthTransformed,GlazingSHGCEastTransformed,GlaszingSHGCWestTransformed,VolumeTransformed,NorthWallSunExposureTransformed,SouthWallSunExposureTransformed,EastWallSunExposureTransformed,WestWallSunExposureTransformed,LightingHours,OccupancyHours,PlugLoadHours,DishwasherHours,ClotheswasherHours,StoveHours,DHWhours,NumberOfPeople,Gas,Name,CeilingBoundaryCondition,ClothesWasherWatts,DHWEff,DHWPeakFlow,DHWtype,DimX,DimZ,DishwasherWatts,DryerWatts,EastWallSunExposure,ExhaustFanEfficiency,ExhaustFanFlowRate,ExteriorDoorInsulationR,FloorBoundaryCondition,FloorInsulationR,FractionExE,FractionExN,FractionExS,FractionExW,FractionOpE,FractionOpN,FractionOpS,FractionOpW,FractionWinE,FractionWinN,FractionWinS,FractionWinW,GasStoveWatts,GlazingSHGCEast,GlazingSHGCNorth,GlazingSHGCSouth,GlazingSHGCWest,GlazingU,HeatingCOP,HeatingEff,HVACFanEfficiency,HVACtype,InfiltrationACH,InfiltrationCalcMethod,InfiltrationPerFloorArea,LightingWatts,NorthAxis,NorthWallSunExposure,OAflowperM2,PlugWattsPerM2,RefrigeratorWatts,RoofInsulationR,RoofMembraneSolarAbs,SouthWallSunExposure,SpaceType,StoveType,StoveWatts,VerticalOrigin,WallInsideLayer,WallInsulationR,WestWallSunExposure,Scored Labels,DeltaPercent
19349.6688,163840.32,77015.19998,4690.8288,0,5863.536,8795.304,80689.28,16753.5,221693.8752,1752000,292000,62700,1045000,219240,774,73.1,3878,1000,2,5.04,5.04,12.6,22.68,1.5,3.024,1.8144,1.89,4.536,2.016,1.2096,4.41,6.804,1.7,4,0.4,0.3,0.8,0.5,141.12,1,0,1,1,2573,7446,1314,730,209,365,156.6,2.25,13.390204,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3,Adiabatic,300,0.9,0.000111,Gas,5.6,4.5,400,5000,SunExposed,0,0,1.7,Outdoors,2,0.5,0.2,0.2,0.9,0.5,1,0.6,0.5,0.3,0.6,0.6,0.4,3000,0.8,0.4,0.3,0.5,4,0,0.9,0.5,accool-gasheat,1.5,AirChanges/Hour,0,1,75,SunExposed,0.0006,5.38,200,1,0.3,NoSun,MF_2bedroom_senior,stoveelectric,1400,26,12IN Concrete HW,1.5,SunExposed,13.28354263,0.796562673
10794.4704,234446.4,112600.1713,10794.4704,0,0,0,1164577.5,23216,658560.375,2452800,219000,62700,1045000,307800,804,67.3,4462,7,1000,34.56,38.88,17.28,21.6,5,3.456,34.992,5.184,0,13.824,3.888,3.456,2.16,0.9,1.5,0.7,0.3,0.15,0,583.2,1,0,0,1,1278,5804,803,730,209,365,256.5,4,22.0695166,USA_TX_San.Antonio.Intl.AP.722530_TMY3,Outdoors,300,0.75,8.10E-05,Electricity,13.5,3.2,300,5000,NoSun,0,0,0.9,Adiabatic,10,0.4,0.8,0.9,0.5,0.5,0.5,1,0.1,0.6,0.2,0.9,0,3000,0.15,0.7,0.3,0.7,1.5,0,0.7,0.6,accool-gasheat,0.5,AirChanges/Hour,0,5,0,SunExposed,0.0004,4.5,280,7,0.2,NoSun,MF_3bedroom,stoveelectric,1200,10,G01a 19mm gypsum board,5,SunExposed,22.07154655,0.009197995
50496.0078,60993.45,97500.29833,5575.269,6690.3228,0,38230.416,557697.75,16753.5,617087.25,350400,219000,41800,522500,0.11424,804,67.3,4462,9,1000,2.975,11.9,0,29.75,3,2.0825,2.142,0,14.28,0,8.568,0,3.57,0.5,4,0.6,0.7,0,0.6,252.875,1,1,1,1,2573,7446,1314,730,209,365,156.6,2.25,13.617537,USA_TX_San.Antonio.Intl.AP.722530_TMY3,Outdoors,200,0.7,5.10E-05,Gas,8.5,3.5,300,2500,SunExposed,0,0,0.5,Adiabatic,2,0,0.1,0.4,1,0.9,0.7,0.9,0.6,0.6,1,0.2,0.8,3200,0.6,0.6,0.7,0.6,4,0,0.9,0.8,accool-gasheat,0.3,AirChanges/Hour,0,3,30,SunExposed,0.0008,6.5,40,9,0.8,SunExposed,MF_2bedroom_senior,stovegas,2000,0,8IN Concrete HW,3,SunExposed,14.62647247,7.409089273
35600.04,55728,112008.636,8376.48,0,9772.56,17451,276048,17412,751608,1051200,292000,104500,731500,0.30906,774,73.1,3878,1000,1.5,12,15,24,18,10,4.32,4.5,3.6,9,2.88,0,3.6,9,0.5,0.5,0.5,0.6,0.7,0.5,360,1,0,1,1,1278,5804,803,730,209,365,195.7,3,18.1326,USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3,Adiabatic,500,0.85,0.000101,Gas,12,2.5,400,3500,SunExposed,0,0,0.5,Outdoors,1.5,0.8,0.4,0.5,0.6,0.3,0.6,0.3,1,0.5,0.6,1,0.5,3600,0.7,0.5,0.6,0.5,0.5,0,1,0.9,accool-gasheat,0.2,AirChanges/Hour,0,1.5,60,SunExposed,0.0008,6.5,120,2,0,NoSun,MF_2bedroom,stovegas,1800,10,G01a 19mm gypsum board,10,SunExposed,20.05143356,10.5822307
0,273200.04,191766.191,0,0,0,0,260865.36,29020,105369.66,350400,292000,83600,940500,307800,694,70.9,4366,1000,0.5,0,24.3,4.86,38.88,8,0,17.01,0,23.328,0,0,0,15.552,2,5,0,0.6,0,0.15,262.44,0,0,0,0,1278,5804,803,730,209,365,256.5,5,28.86780397,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3,Adiabatic,400,1,8.10E-05,Electricity,5.4,9,400,4500,NoSun,0,0,2,Outdoors,0.5,0.1,0,0.5,0.8,0,0.8,0.7,1,0.1,0.7,1,0.6,3600,0.4,0.2,0.6,0.15,5,0,1,0.6,accool-gasheat,1.5,AirChanges/Hour,0,7,0,NoSun,0.001,4.5,40,8,0.4,NoSun,MF_4bedroom,stoveelectric,1200,26,8IN Concrete HW,8,NoSun,28.80044174,0.233347254
0,4371840,711220.1067,0,0,0,0,8562944,11169,1809745.92,1051200,41700,31200,624000,126200,1265,64,4883,1000,3,100.8,100.8,100.8,28.8,2,0,0,0,23.04,30.24,90.72,80.64,0,0.7,1,0,0,0,0.4,2304,0,0,0,0,2573,7446,1314,417,156,256,126.2,1.5,366.893118,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,Adiabatic,200,0.8,9.10E-05,Gas,16,9,100,4000,NoSun,0,0,0.7,Ground,3,0.7,0.7,0.7,0.2,0.8,0.3,0.9,0.8,0,0,0,1,3400,0.2,0.4,0.1,0.4,1,0,0.7,0.6,accool-gasheat,1.5,AirChanges/Hour,0,13,45,NoSun,0.0001,5.38,120,0.1,1,NoSun,MF_1bedroom_senior,stoveelectric,1000,0,G01a 19mm gypsum board,2,NoSun,350.7704468,4.394378208
4679.65344,24513.468,88762.74563,0,4466.94192,212.71152,0,989655.16,38766,145329.5096,1051200,292000,104500,731500,461700,694,70.9,4366,7,1000,4.06,6.09,12.18,14.21,0.5,1.827,1.4616,0.4872,8.9523,1.827,3.4104,4.3848,0.9947,0.9,3,0.15,0.7,0.1,0.6,117.74,0,1,1,0,2263,6461,803,730,209,365,256.5,6,9.395984,USA_TX_Austin-Mueller.Muni.AP.722540_TMY3,Outdoors,500,0.75,6.10E-05,Gas,5.8,3.5,400,3500,SunExposed,0,0,0.9,Adiabatic,10,0.6,0.2,0.3,0.7,0.4,0.9,0.8,0.7,0.1,0.5,0.3,0.9,4000,0.1,0.15,0.7,0.6,3,0,0.7,0.6,accool-gasheat,0.3,AirChanges/Hour,0,13,0,NoSun,0.0008,5.38,120,7,1,SunExposed,MF_3bedroom_affordable,stoveelectric,1800,52,G01a 19mm gypsum board,0.5,NoSun,10.15742207,8.103867203
12656.736,291456,1941181.293,0,12656.736,0,0,3293440,16753.5,2186496,1401600,73000,41800,940500,281880,1265,64,4883,1000,1.5,14.4,72,14.4,28.8,0.1,4.32,4.32,0.72,2.016,2.88,38.88,0.72,0.864,0.7,0.5,0.2,0.6,0.2,0.3,2304,0,1,0,0,2573,7446,1314,730,209,365,156.6,2.25,63.690848,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3,Adiabatic,200,0.85,5.10E-05,Electricity,16,9,100,4500,NoSun,0,0,0.7,Outdoors,1.5,0.1,0.1,0.5,0.2,0.1,0.5,0.6,0.1,0.5,0.6,0.1,0.7,3200,0.2,0.2,0.6,0.3,0.5,0,0.7,0.7,accool-gasheat,0.1,AirChanges/Hour,0,5,0,NoSun,0.0006,6.5,160,8,0.6,SunExposed,MF_2bedroom_senior,stoveelectric,1800,10,G01a 19mm gypsum board,0.1,NoSun,61.93592834,2.755371785
5393.79,4716000,773952.9905,5393.79,0,0,0,8146800,38766,1728056,1752000,182500,125400,731500,461700,1310,41,6659,2,6,9,90,63,9,1.5,4.05,22.5,0,0.54,4.05,22.5,0,2.16,1.4,7,0.2,0.15,0,0.7,1800,1,0,1,0,2263,6461,803,730,209,365,256.5,6,277.726044,USA_TX_El.Paso.Intl.AP.722700_TMY3,Outdoors,600,0.8,8.10E-05,Gas,20,4.5,250,3500,SunExposed,0,0,1.4,Outdoors,6,0.7,0.1,1,0.1,0,0.9,0.5,0.3,0.1,0.5,0.5,0.2,3000,0.15,0.2,0.15,0.7,7,0,0.95,0.7,accool-gasheat,2,AirChanges/Hour,0,9,89,SunExposed,0.0003,5.38,200,2,0.4,NoSun,MF_3bedroom_affordable,stoveelectric,1800,10,G01a 19mm gypsum board,1.5,NoSun,279.2973633,0.565780313
0,28296,60376.51294,0,0,0,0,46008,23216,130086,2102400,73000,62700,1045000,410400,1310,41,6659,1000,1000,18,10.8,28.8,32.4,9,2.16,3.888,0.288,0,8.64,0.432,2.592,6.48,1.7,4,0.4,0.15,0.4,0,216,0,0,0,1,1278,5804,803,730,209,365,256.5,4,9.656301,USA_TX_El.Paso.Intl.AP.722700_TMY3,Adiabatic,300,0.7,7.10E-05,Gas,6,6,100,5000,NoSun,0,0,1.7,Adiabatic,2,0.8,0.5,0.3,0.9,0.1,0.6,0.4,0.2,0.1,0.2,0.9,0,3600,0.4,0.4,0.15,0.4,4,0,1,0.7,accool-gasheat,0.1,AirChanges/Hour,0,1,45,NoSun,0.0002,4.5,240,4,1,NoSun,MF_3bedroom,stoveelectric,1600,52,12IN Concrete HW,9,SunExposed,9.772521973,1.203576532
